date,time,room,camera102,camera103,camera104,total_occupancy,cleaning,Deep Cleaning
29-03-2022,17:47:54,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:47:59,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:48:03,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:48:05,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:48:11,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:48:14,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:48:19,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:48:59,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:49:00,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:49:03,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:49:05,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:49:22,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:49:56,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:50:07,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:50:10,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:50:17,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:50:26,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:50:32,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:50:36,M1 Saperation Room,0,2,0,2,False,False
